ds,y
6/18/2016,738
6/19/2016,1273
6/20/2016,1568
6/21/2016,1884
6/22/2016,1710
6/23/2016,1360
6/24/2016,955
6/25/2016,785
6/26/2016,979
6/27/2016,1388
6/28/2016,1303
6/29/2016,1128
6/30/2016,1092
7/1/2016,731
7/2/2016,421
7/3/2016,688
7/4/2016,976
7/5/2016,628
7/6/2016,885
7/7/2016,772
7/8/2016,579
7/9/2016,413
7/10/2016,529
7/11/2016,728
7/12/2016,726
7/13/2016,663
7/14/2016,627
7/15/2016,529
7/16/2016,333
7/17/2016,417
7/18/2016,621
7/19/2016,720
7/20/2016,717
7/21/2016,621
7/22/2016,463
7/23/2016,343
7/24/2016,365
7/25/2016,535
7/26/2016,567
7/27/2016,575
7/28/2016,481
7/29/2016,386
7/30/2016,335
7/31/2016,421
8/1/2016,588
8/2/2016,706
8/3/2016,700
8/4/2016,579
8/5/2016,490
8/6/2016,334
8/7/2016,397
8/8/2016,711
8/9/2016,852
8/10/2016,997
8/11/2016,844
8/12/2016,585
8/13/2016,483
8/14/2016,618
8/15/2016,910
8/16/2016,944
8/17/2016,959
8/18/2016,863
8/19/2016,634
8/20/2016,450
8/21/2016,686
8/22/2016,742
8/23/2016,999
8/24/2016,940
8/25/2016,848
8/26/2016,561
8/27/2016,367
8/28/2016,427
8/29/2016,750
8/30/2016,838
8/31/2016,786
9/1/2016,839
9/2/2016,649
9/3/2016,511
9/4/2016,520
9/5/2016,780
9/6/2016,852
9/7/2016,932
9/8/2016,853
9/9/2016,627
9/10/2016,432
9/11/2016,459
9/12/2016,683
9/13/2016,694
9/14/2016,814
9/15/2016,750
9/16/2016,575
9/17/2016,434
9/18/2016,510
9/19/2016,725
9/20/2016,822
9/21/2016,729
9/22/2016,696
9/23/2016,549
9/24/2016,468
9/25/2016,575
9/26/2016,740
9/27/2016,712
9/28/2016,702
9/29/2016,1089
9/30/2016,528
10/1/2016,363
10/2/2016,501
10/3/2016,738
10/4/2016,704
10/5/2016,656
10/6/2016,618
10/7/2016,502
10/8/2016,353
10/9/2016,458
10/10/2016,658
10/11/2016,615
10/12/2016,608
10/13/2016,617
10/14/2016,523
10/15/2016,461
10/16/2016,465
10/17/2016,711
10/18/2016,736
10/19/2016,691
10/20/2016,644
10/21/2016,454
10/22/2016,366
10/23/2016,442
10/24/2016,636
10/25/2016,687
10/26/2016,697
10/27/2016,547
10/28/2016,457
10/29/2016,361
10/30/2016,314
10/31/2016,481
11/1/2016,494
11/2/2016,517
11/3/2016,642
11/4/2016,565
11/5/2016,360
11/6/2016,505
11/7/2016,821
11/8/2016,1101
11/9/2016,1229
11/10/2016,1348
11/11/2016,841
11/12/2016,605
11/13/2016,1083
11/14/2016,1424
11/15/2016,1608
11/16/2016,1442
11/17/2016,3344
11/18/2016,831
11/19/2016,578
11/20/2016,849
11/21/2016,1166
11/22/2016,1019
11/23/2016,1141
11/24/2016,885
11/25/2016,643
11/26/2016,501
11/27/2016,710
11/28/2016,918
11/29/2016,746
11/30/2016,887
12/1/2016,902
12/2/2016,765
12/3/2016,485
12/4/2016,616
12/5/2016,909
12/6/2016,1022
12/7/2016,858
12/8/2016,761
12/9/2016,670
12/10/2016,473
12/11/2016,593
12/12/2016,846
12/13/2016,795
12/14/2016,695
12/15/2016,563
12/16/2016,438
12/17/2016,278
12/18/2016,369
12/19/2016,444
12/20/2016,452
12/21/2016,357
12/22/2016,324
12/23/2016,283
12/24/2016,215
12/25/2016,151
12/26/2016,234
12/27/2016,295
12/28/2016,328
12/29/2016,343
12/30/2016,281
12/31/2016,174
1/1/2017,199
1/2/2017,364
1/3/2017,529
1/4/2017,672
1/5/2017,633
1/6/2017,509
1/7/2017,394
1/8/2017,439
1/9/2017,736
1/10/2017,983
1/11/2017,825
1/12/2017,772
1/13/2017,577
1/14/2017,411
1/15/2017,592
1/16/2017,850
1/17/2017,900
1/18/2017,1022
1/19/2017,918
1/20/2017,661
1/21/2017,465
1/22/2017,562
1/23/2017,1045
1/24/2017,1117
1/25/2017,1038
1/26/2017,941
1/27/2017,635
1/28/2017,465
1/29/2017,715
1/30/2017,905
1/31/2017,848
2/1/2017,1075
2/2/2017,931
2/3/2017,640
2/4/2017,428
2/5/2017,514
2/6/2017,692
2/7/2017,748
2/8/2017,817
2/9/2017,654
2/10/2017,606
2/11/2017,320
2/12/2017,429
2/13/2017,643
2/14/2017,717
2/15/2017,646
2/16/2017,642
2/17/2017,555
2/18/2017,405
2/19/2017,504
2/20/2017,694
2/21/2017,728
2/22/2017,673
2/23/2017,578
2/24/2017,487
2/25/2017,410
2/26/2017,434
2/27/2017,658
2/28/2017,675
3/1/2017,646
3/2/2017,648
3/3/2017,520
3/4/2017,330
3/5/2017,405
3/6/2017,607
3/7/2017,696
3/8/2017,695
3/9/2017,555
