ds,y
9/24/2019,702
9/25/2019,583
9/26/2019,563
9/27/2019,436
9/28/2019,331
9/29/2019,369
9/30/2019,545
10/1/2019,502
10/2/2019,536
10/3/2019,513
10/4/2019,420
10/5/2019,298
10/6/2019,377
10/7/2019,525
10/8/2019,530
10/9/2019,504
10/10/2019,477
10/11/2019,401
10/12/2019,325
10/13/2019,374
10/14/2019,546
10/15/2019,531
10/16/2019,556
10/17/2019,636
10/18/2019,488
10/19/2019,393
10/20/2019,415
10/21/2019,573
10/22/2019,591
10/23/2019,607
10/24/2019,447
10/25/2019,424
10/26/2019,269
10/27/2019,291
10/28/2019,479
10/29/2019,562
10/30/2019,440
10/31/2019,443
11/1/2019,355
11/2/2019,279
11/3/2019,426
11/4/2019,701
11/5/2019,744
11/6/2019,814
11/7/2019,621
11/8/2019,454
11/9/2019,291
11/10/2019,462
11/11/2019,629
11/12/2019,726
11/13/2019,699
11/14/2019,647
11/15/2019,530
11/16/2019,242
11/17/2019,348
11/18/2019,479
11/19/2019,663
11/20/2019,697
11/21/2019,567
11/22/2019,470
11/23/2019,303
11/24/2019,389
11/25/2019,513
11/26/2019,537
11/27/2019,527
11/28/2019,407
11/29/2019,370
11/30/2019,293
12/1/2019,360
12/2/2019,490
12/3/2019,467
12/4/2019,427
12/5/2019,521
12/6/2019,615
12/7/2019,318
12/8/2019,512
12/9/2019,563
12/10/2019,490
12/11/2019,561
12/12/2019,538
12/13/2019,486
12/14/2019,297
12/15/2019,397
12/16/2019,456
12/17/2019,417
12/18/2019,414
12/19/2019,334
12/20/2019,246
12/21/2019,189
12/22/2019,192
12/23/2019,448
12/24/2019,177
12/25/2019,136
12/26/2019,257
12/27/2019,226
12/28/2019,193
12/29/2019,204
12/30/2019,232
12/31/2019,220
1/1/2020,168
1/2/2020,252
1/3/2020,301
1/4/2020,194
1/5/2020,244
1/6/2020,380
1/7/2020,391
1/8/2020,466
1/9/2020,463
1/10/2020,403
1/11/2020,278
1/12/2020,299
1/13/2020,483
1/14/2020,503
1/15/2020,577
1/16/2020,646
1/17/2020,494
1/18/2020,292
1/19/2020,394
1/20/2020,580
1/21/2020,739
1/22/2020,735
1/23/2020,680
1/24/2020,531
1/25/2020,344
1/26/2020,443
1/27/2020,721
1/28/2020,760
1/29/2020,860
1/30/2020,761
1/31/2020,373
2/1/2020,296
2/2/2020,364
2/3/2020,555
2/4/2020,551
2/5/2020,530
2/6/2020,488
2/7/2020,525
2/8/2020,266
2/9/2020,328
2/10/2020,533
2/11/2020,533
2/12/2020,533
2/13/2020,395
2/14/2020,351
2/15/2020,265
2/16/2020,252
2/17/2020,366
2/18/2020,422
2/19/2020,468
2/20/2020,362
2/21/2020,316
2/22/2020,260
2/23/2020,365
2/24/2020,479
2/25/2020,461
2/26/2020,448
2/27/2020,440
2/28/2020,487
2/29/2020,322
3/1/2020,342
3/2/2020,510
3/3/2020,550
3/4/2020,481
3/5/2020,429
3/6/2020,429
3/7/2020,294
3/8/2020,323
3/9/2020,485
3/10/2020,423
3/11/2020,374
3/12/2020,407
3/13/2020,341
3/14/2020,265
3/15/2020,197
3/16/2020,233
3/17/2020,308
3/18/2020,363
3/19/2020,388
3/20/2020,318
3/21/2020,206
3/22/2020,210
3/23/2020,282
3/24/2020,283
3/25/2020,269
3/26/2020,295
3/27/2020,250
3/28/2020,257
3/29/2020,236
3/30/2020,337
3/31/2020,389
4/1/2020,327
4/2/2020,327
4/3/2020,326
4/4/2020,408
4/5/2020,422
4/6/2020,332
4/7/2020,330
4/8/2020,377
4/9/2020,351
4/10/2020,487
4/11/2020,350
4/12/2020,362
4/13/2020,346
4/14/2020,332
4/15/2020,365
4/16/2020,383
4/17/2020,293
4/18/2020,228
4/19/2020,305
4/20/2020,408
4/21/2020,360
4/22/2020,422
4/23/2020,322
4/24/2020,324
4/25/2020,301
4/26/2020,308
4/27/2020,385
4/28/2020,385
4/29/2020,428
4/30/2020,312
5/1/2020,312
5/2/2020,221
5/3/2020,225
5/4/2020,436
5/5/2020,1066
5/6/2020,744
5/7/2020,461
5/8/2020,425
5/9/2020,341
5/10/2020,289
5/11/2020,351
5/12/2020,361
5/13/2020,523
5/14/2020,385
5/15/2020,350
5/16/2020,269
5/17/2020,264
5/18/2020,296
5/19/2020,420
5/20/2020,341
5/21/2020,285
5/22/2020,285
5/23/2020,205
5/24/2020,204
5/25/2020,252
5/26/2020,331
5/27/2020,319
5/28/2020,302
5/29/2020,318
5/30/2020,257
5/31/2020,225
6/1/2020,257
6/2/2020,311
6/3/2020,311
6/4/2020,331
6/5/2020,362
6/6/2020,290
6/7/2020,302
6/8/2020,521
6/9/2020,381
6/10/2020,318
6/11/2020,278
6/12/2020,248
6/13/2020,206
6/14/2020,198
6/15/2020,324
6/16/2020,332
6/17/2020,276
6/18/2020,273
6/19/2020,258
6/20/2020,314
6/21/2020,196
6/22/2020,297
6/23/2020,302
6/24/2020,313
6/25/2020,311
6/26/2020,294
6/27/2020,232
6/28/2020,239
6/29/2020,356
6/30/2020,378
7/1/2020,330
7/2/2020,341
7/3/2020,323
7/4/2020,279
7/5/2020,253
7/6/2020,320
7/7/2020,295
7/8/2020,295
7/9/2020,347
7/10/2020,315
7/11/2020,274
7/12/2020,334
7/13/2020,436
7/14/2020,394
7/15/2020,417
7/16/2020,398
7/17/2020,319
7/18/2020,286
7/19/2020,271
7/20/2020,310
7/21/2020,229
7/22/2020,252
7/23/2020,276
7/24/2020,326
7/25/2020,231
7/26/2020,173
7/27/2020,322
7/28/2020,272
7/29/2020,286
7/30/2020,258
7/31/2020,162
8/1/2020,141
8/2/2020,190
8/3/2020,234
8/4/2020,282
8/5/2020,333
8/6/2020,273
8/7/2020,252
8/8/2020,221
8/9/2020,226
8/10/2020,353
8/11/2020,342
8/12/2020,524
8/13/2020,372
8/14/2020,330
8/15/2020,221
8/16/2020,248
8/17/2020,291
8/18/2020,427
8/19/2020,371
8/20/2020,425
8/21/2020,311
8/22/2020,235
8/23/2020,245
8/24/2020,557
8/25/2020,579
8/26/2020,549
8/27/2020,566
8/28/2020,455
8/29/2020,266
8/30/2020,378
8/31/2020,428
9/1/2020,519
9/2/2020,712
9/3/2020,608
9/4/2020,582
9/5/2020,417
9/6/2020,371
9/7/2020,640
9/8/2020,610
9/9/2020,552
9/10/2020,670
9/11/2020,549
9/12/2020,425
9/13/2020,359
9/14/2020,544
9/15/2020,642
9/16/2020,580
9/17/2020,559
9/18/2020,485
9/19/2020,320
9/20/2020,411
9/21/2020,510
9/22/2020,531
9/23/2020,495
9/24/2020,536
9/25/2020,451
9/26/2020,311
9/27/2020,305
9/28/2020,510
9/29/2020,550
9/30/2020,524
10/1/2020,437
10/2/2020,413
10/3/2020,399
10/4/2020,379
10/5/2020,541
10/6/2020,683
10/7/2020,655
10/8/2020,701
10/9/2020,441
10/10/2020,386
10/11/2020,454
10/12/2020,686
10/13/2020,568
10/14/2020,655
10/15/2020,645
10/16/2020,492
10/17/2020,379
10/18/2020,309
10/19/2020,480
10/20/2020,529
10/21/2020,605
10/22/2020,515
10/23/2020,412
10/24/2020,298
10/25/2020,304
10/26/2020,420
10/27/2020,422
10/28/2020,458
10/29/2020,456
10/30/2020,392
10/31/2020,236
11/1/2020,190
11/2/2020,368
11/3/2020,355
11/4/2020,433
11/5/2020,489
11/6/2020,331
11/7/2020,295
11/8/2020,281
11/9/2020,402
11/10/2020,436
11/11/2020,436
11/12/2020,386
11/13/2020,301
11/14/2020,233
11/15/2020,330
11/16/2020,373
11/17/2020,375
11/18/2020,394
11/19/2020,354
11/20/2020,342
11/21/2020,236
11/22/2020,238
11/23/2020,497
11/24/2020,421
11/25/2020,421
11/26/2020,394
11/27/2020,294
11/28/2020,361
11/29/2020,258
11/30/2020,339
12/1/2020,374
12/2/2020,343
12/3/2020,318
12/4/2020,317
12/5/2020,291
12/6/2020,207
12/7/2020,422
12/8/2020,340
12/9/2020,470
12/10/2020,368
12/11/2020,317
12/12/2020,233
12/13/2020,182
12/14/2020,350
12/15/2020,407
12/16/2020,319
12/17/2020,404
12/18/2020,438
12/19/2020,277
12/20/2020,268
12/21/2020,438
12/22/2020,209
12/23/2020,189
12/24/2020,179
12/25/2020,145
12/26/2020,547
12/27/2020,143
12/28/2020,261
12/29/2020,247
12/30/2020,169
12/31/2020,155
1/1/2021,131
1/2/2021,141
1/3/2021,173
1/4/2021,330
1/5/2021,423
1/6/2021,415
1/7/2021,367
1/8/2021,284
1/9/2021,237
1/10/2021,220
1/11/2021,490
1/12/2021,409
1/13/2021,495
1/14/2021,443
1/15/2021,449
1/16/2021,300
1/17/2021,326
1/18/2021,462
1/19/2021,453
1/20/2021,474
1/21/2021,558
1/22/2021,518
1/23/2021,440
1/24/2021,357
1/25/2021,549
1/26/2021,546
1/27/2021,769
1/28/2021,
